root,count,forms
سرر,44,أَسَرُّ(6);سِرًّا(6);سُرُرٍ(4);يُسِرُّ(4);أَسَرَّ(3);تُسِرُّ(3);سِرَّ(3);سِّرَّ(2);مَسْرُورًا(2);أَسِرُّ(1);أَسْرَرْ(1);إِسْرَارًا(1);إِسْرَارَ(1);تَسُرُّ(1);سُرُرًا(1);سُرُرٌ(1);سُرُورًا(1);سَّرَآئِرُ(1);سَّرَّآءُ(1);سَّرَّآءِ(1)
يسر,44,يَسِيرًا(7);يَسِيرٌ(7);يَسَّرْ(6);يُسْرًا(6);نُيَسِّرُ(3);تَيَسَّرَ(2);مَيْسِرِ(2);يُسْرَىٰ(2);ٱسْتَيْسَرَ(2);مَيْسَرَةٍ(1);مَيْسِرُ(1);مَّيْسُورًا(1);يَسِيرٍ(1);يَسَّرَ(1);يَسِّرْ(1);يُسْرَ(1)
ترك,43,تَرَكَ(14);تَرَكْ(14);تَرَكُ(3);تُتْرَكُ(2);تَّرَكْ(2);تَارِكٌۢ(1);تَارِكُوٓا۟(1);تَارِكِىٓ(1);تَتْرُكْ(1);نَّتْرُكَ(1);يُتْرَكَ(1);يُتْرَكُ(1);ٱتْرُكِ(1)
جوب,43,يَسْتَجِيبُ(11);ٱسْتَجَبْ(5);جَوَابَ(4);ٱسْتَجَابُ(4);ٱسْتَجَابَ(3);ٱسْتَجِيبُ(2);أَجَبْ(1);أَجِيبُ(1);أَسْتَجِبْ(1);أُجِبْ(1);أُجِيبَت(1);أُجِيبُ(1);تَسْتَجِيبُ(1);جَابُ(1);مُجِيبُونَ(1);مُّجِيبٌ(1);نُّجِبْ(1);يُجِبْ(1);يُجِيبُ(1);ٱسْتُجِيبَ(1)
حشر,43,تُحْشَرُ(9);نَحْشُرُ(7);يَحْشُرُ(6);يُحْشَرُ(5);حَشَرْ(3);حَٰشِرِينَ(3);حُشِرَ(2);حَشَرَ(1);حَشْرٌ(1);حَشْرِ(1);حُشِرَتْ(1);مَحْشُورَةً(1);نَحْشُرَ(1);يُحْشَرَ(1);ٱحْشُرُ(1)
فصل,43,فَصْلِ(7);نُفَصِّلُ(6);فَصَّلْ(5);تَفْصِيلًا(3);فُصِّلَتْ(3);يَفْصِلُ(3);تَفْصِيلَ(2);فِصَٰلُ(2);يُفَصِّلُ(2);فَصَلَ(1);فَصَلَتِ(1);فَصِيلَتِ(1);فَصَّلَ(1);فَصْلٌ(1);فَصْلَ(1);فَٰصِلِينَ(1);فِصَالًا(1);مُفَصَّلًا(1);مُّفَصَّلَٰتٍ(1)
فوق,43,فَوْقَ(26);فَوْقِ(15);أَفَاقَ(1);فَوَاقٍ(1)
مكر,43,يَمْكُرُ(10);مَكْرُ(7);مَكَرُ(6);مَكْرًا(4);مَكْرَ(4);مَكَرَ(3);مَكْرِ(2);مَٰكِرِينَ(2);تَمْكُرُ(1);مَكَرْ(1);مَكْرٌ(1);مَّكَرْ(1);مَّكْرٌ(1)
بحر,42,بَحْرِ(22);بَحْرَ(7);بَحْرَيْنِ(4);بَحْرُ(3);بِحَارُ(2);أَبْحُرٍ(1);بَحِيرَةٍ(1);بَحْرٍ(1);بَحْرَانِ(1)
حزن,42,يَحْزَنُ(13);تَحْزَنُ(5);تَحْزَنْ(5);يَحْزُن(5);يَحْزُنُ(3);تَحْزَنَ(2);حَزَنًا(2);حُزْنِ(2);تَحْزَنِى(1);تَحْزَنِىٓ(1);حَزَنَ(1);يَحْزَ(1);يَحْزُنَ(1)
سخر,42,سَخَّرَ(18);سَخَّرْ(4);سَخِرُ(3);يَسْخَرُ(3);تَسْخَرُ(2);سِخْرِيًّا(2);سَخِرَ(1);سُخْرِيًّا(1);سَّٰخِرِينَ(1);مُسَخَّرَٰتٌۢ(1);مُسَخَّرَٰتٍ(1);مُسَخَّرَٰتٍۭ(1);مُسَخَّرِ(1);نَسْخَرُ(1);يَسْتَسْخِرُ(1);يَسْخَرْ(1)
صدد,42,يَصُدُّ(12);صَدُّ(10);صَدَّ(4);يَصُدَّ(4);تَصُدُّ(3);صَدَد(1);صَدَدْ(1);صَدِيدٍ(1);صَدٌّ(1);صَدِّ(1);صُدُودًا(1);صُدَّ(1);صُدُّ(1);يَصِدُّ(1)
قوي,42,قُوَّةً(12);قُوَّةٍ(12);قَوِىٌّ(7);قَوِىُّ(3);قُوَّةَ(2);قُوَّةِ(2);قَوِيًّا(1);قُوَىٰ(1);قُوَّتِ(1);مُقْوِينَ(1)
جبل,41,جِبَالُ(15);جِبَالِ(9);جِبَالَ(8);جَبَلٍ(3);جَبَلِ(2);جَبَلَ(1);جِبَالٍ(1);جِبِلًّا(1);جِبِلَّةَ(1)
جهد,41,جَٰهَدُ(11);جَهْدَ(5);جَٰهَدَ(4);جَٰهِدُ(4);يُجَٰهِدُ(4);مُجَٰهِدِينَ(3);جَٰهِدِ(2);تُجَٰهِدُ(1);جَٰهِدْ(1);جُهْدَ(1);جِهَادًا(1);جِهَادٍ(1);جِهَادِ(1);جِهَٰدًا(1);مُجَٰهِدُونَ(1)
طوف,41,طَآئِفَةٌ(9);طَّآئِفَةٌ(6);يَطُوفُ(4);يُطَافُ(3);طَآئِفَةً(2);طَآئِفَةٍ(2);طَّآئِفِينَ(2);طَافَ(1);طَآئِفٌ(1);طَآئِفَةًۢ(1);طَآئِفَتَانِ(1);طَآئِفَتَيْنِ(1);طَوَّٰفُونَ(1);طَٰٓئِفٌ(1);طَّآئِفَتَانِ(1);طَّآئِفَتَيْنِ(1);طُّوفَانَ(1);طُّوفَانُ(1);يَطَّوَّفَ(1);يَطَّوَّفُ(1)
كره,41,كَرِهَ(8);كَٰرِهُونَ(6);كَرْهًا(5);كَرِهُ(4);تَكْرَهُ(2);تُكْرِهُ(2);كَرِهْ(2);كُرْهًا(2);أَكْرَهْ(1);أُكْرِهَ(1);إِكْرَاهَ(1);إِكْرَٰهِ(1);كَرَّهَ(1);كَٰرِهِينَ(1);كُرْهٌ(1);مَكْرُوهًا(1);يَكْرَهُ(1);يُكْرِه(1)
لعن,41,لَعَنَ(7);لَّعَنَ(4);لَعْنَةً(3);لَعْنَةُ(3);لَّعْنَةُ(3);يَلْعَنُ(3);لَعَ(2);لُعِنُ(2);لَعْنًا(1);لَعْنَةَ(1);لَعْنَتَ(1);لَعْنَتِ(1);لُعِنَ(1);لَّعَنَتْ(1);لَّعْنَةَ(1);لَّعْنَتَ(1);لَّٰعِنُونَ(1);مَلْعُونَةَ(1);مَّلْعُونِينَ(1);نَلْعَنَ(1);يَلْعَنِ(1);ٱلْعَنْ(1)
شعر,40,يَشْعُرُ(21);تَشْعُرُ(4);شَاعِرٌ(2);شَاعِرٍ(2);شَعَٰٓئِرَ(2);أَشْعَارِ(1);شَعَآئِرِ(1);شَعَٰٓئِرِ(1);شُّعَرَآءُ(1);شِّعْرَ(1);شِّعْرَىٰ(1);مَشْعَرِ(1);يُشْعِرَ(1);يُشْعِرُ(1)
فلح,40,تُفْلِحُ(12);مُفْلِحُونَ(12);يُفْلِحُ(11);أَفْلَحَ(4);مُفْلِحِينَ(1)
ملأ,40,مَلَأُ(12);مَلَإِي۟(7);أَمْلَأَ(4);مَلَؤُا۟(4);مَلَإِ(4);مَالِـُٔونَ(2);مَلَأَ(2);مَلَأٌ(1);مُلِئَتْ(1);مُلِئْ(1);مِّلْءُ(1);ٱمْتَلَأْ(1)
ذنب,39,ذُنُوبِ(17);ذَنۢبِ(8);ذُنُوبَ(7);ذُّنُوبَ(2);ذَنُوبًا(1);ذَنُوبِ(1);ذَنۢبٌ(1);ذَنۢبٍ(1);ذَّنۢبِ(1)
سلط,39,سُلْطَٰنٍ(17);سُلْطَٰنًا(11);سُلْطَٰنٌ(4);سُلْطَٰنٍۭ(3);سَلَّطَ(1);سُلْطَٰنُ(1);سُلْطَٰنِ(1);يُسَلِّطُ(1)
شرب,39,ٱشْرَبُ(6);شَرَابٌ(5);يَشْرَبُ(4);شَّٰرِبِينَ(3);تَشْرَبُ(2);شَرَابًا(2);شَٰرِبُونَ(2);مَّشْرَبَ(2);أُشْرِبُ(1);شَرَابٍ(1);شَرَابُ(1);شَرَابِ(1);شَرِبَ(1);شَرِبُ(1);شُرْبَ(1);شِرْبٌ(1);شِرْبٍ(1);شِرْبُ(1);شَّرَابُ(1);مَشَارِبُ(1);ٱشْرَبِ(1)
طغي,39,طَغَىٰ(5);طُغْيَٰنِ(5);طُغْيَٰنًا(4);طَّٰغُوتِ(4);تَطْغَ(3);طَّٰغُوتَ(3);طَاغُونَ(2);طَٰغِينَ(2);طَّٰغِينَ(2);أَطْغَىٰ(1);أَطْغَيْ(1);طَغَ(1);طَغَا(1);طَغْوَىٰ(1);طَّاغِيَةِ(1);طَّٰغُوتُ(1);يَطْغَىٰ(1);يَطْغَىٰٓ(1)
بلو,38,يَبْلُوَ(6);بَلَآءٌ(3);بَلَوْ(3);نَبْلُوَ(3);نَبْلُو(2);ٱبْتَلَىٰ(2);بَلَآءً(1);بَلَٰٓؤٌا۟(1);بَلَٰٓؤُا۟(1);تَبْلُوا۟(1);تُبْلَوُ(1);تُبْلَى(1);مُبْتَلِي(1);مُبْتَلِينَ(1);نَبْلُوَا۟(1);نَّبْتَلِي(1);يَبْتَلِىَ(1);يَبْتَلِيَ(1);يَبْلَىٰ(1);يَبْلُو(1);يَبْلُوَا۟(1);يُبْلِىَ(1);ٱبْتَلَىٰٓ(1);ٱبْتَلُ(1);ٱبْتُلِىَ(1)
ذرر,38,ذُرِّيَّتِ(9);ذُرِّيَّتَ(7);ذَرَّةٍ(6);ذُرِّيَّةً(4);ذُرِّيَّٰتِ(4);ذُرِّيَّةِ(3);ذُرِّيَّةٌ(2);ذُرِّيَّةًۢ(1);ذُرِّيَّةَ(1);ذُرِّيَّتُ(1)
فتح,38,فَتَحْ(6);فَتْحًا(4);فَتْحُ(3);فَتْحِ(3);فُتِحَتْ(3);فَتْحٌ(2);ٱفْتَحْ(2);تَسْتَفْتِحُ(1);تُفَتَّحُ(1);فَتَحَ(1);فَتَحُ(1);فَتَّاحُ(1);فَٰتِحِينَ(1);فُتِحَتِ(1);مَفَاتِحَ(1);مَفَاتِحُ(1);مَّفَاتِحَ(1);مُّفَتَّحَةً(1);يَسْتَفْتِحُ(1);يَفْتَحُ(1);يَفْتَحِ(1);ٱسْتَفْتَحُ(1)
قرر,38,قَرَارٍ(4);أَقْرَرْ(3);تَقَرَّ(3);مُسْتَقَرٌّ(3);قَرَارًا(2);قَرَارُ(2);مُسْتَقَرًّا(2);مُّسْتَقِرٌّ(2);قَرَارِ(1);قَرِّ(1);قَرْ(1);قَوَارِيرَ(1);قَوَارِيرَا۟(1);قَوَارِيرَا۠(1);قُرَّةَ(1);قُرَّةِ(1);قُرَّتُ(1);مُسْتَقَرٍّ(1);مُسْتَقَرَّ(1);مُسْتَقَرُّ(1);مُسْتَقِرًّا(1);مُّسْتَقَرًّا(1);مُّسْتَقَرٌّ(1);نُقِرُّ(1);ٱسْتَقَرَّ(1)
مرأ,38,ٱمْرَأَتَ(9);ٱمْرَأَتُ(7);ٱمْرَأَتِ(4);ٱمْرِئٍ(4);مَرْءُ(2);مَرْءِ(2);ٱمْرَأَةً(2);ٱمْرَأَةٌ(2);مَّرِيٓـًٔا(1);ٱمْرَأَ(1);ٱمْرَأَتَانِ(1);ٱمْرَأَتَيْنِ(1);ٱمْرُؤٌا۟(1);ٱمْرِئٍۭ(1)
هوي,38,أَهْوَآءَ(16);هَوَىٰ(10);تَهْوَىٰٓ(2);هَوَىٰٓ(2);أَهْوَآئِ(1);أَهْوَىٰ(1);تَهْوَى(1);تَهْوِى(1);تَهْوِىٓ(1);هَاوِيَةٌ(1);هَوَآءٌ(1);ٱسْتَهْوَتْ(1)
ألو,37,ءَالَآءِ(32);ءَالَآءَ(2);يَأْتَلِ(1);يَأْلُ(1);يُؤْلُ(1)
سبق,37,سَبَقَتْ(7);سَبَقَ(6);سَبَقُ(3);سَّٰبِقُونَ(3);تَسْبِقُ(2);سَابِقُ(2);مَسْبُوقِينَ(2);يَسْبِقُ(2);ٱسْتَبِقُ(2);سَابِقٌۢ(1);سَبْقًا(1);سَٰبِقُونَ(1);سَٰبِقِينَ(1);سَّٰبِقَٰتِ(1);نَسْتَبِقُ(1);ٱسْتَبَقَ(1);ٱسْتَبَقُ(1)
نكر,37,مُنكَرِ(12);نَكِيرِ(4);مُنكِرُونَ(3);نُّكْرًا(3);مُنكَرَ(2);مُّنكَرُونَ(2);يُنكِرُ(2);أَنكَرَ(1);تُنكِرُ(1);مُنكَرًا(1);مُّنكَرٍ(1);مُّنكِرَةٌ(1);نَكِرَ(1);نَكِّرُ(1);نَّكِيرٍ(1);نُّكُرٍ(1)
أوي,36,مَأْوَىٰ(20);ءَاوَ(2);ءَاوَىٰٓ(2);ـَٔاوَىٰ(2);ءَاوَيْ(1);ءَاوِىٓ(1);أَوَى(1);أَوَيْ(1);أْوُ(1);تُـْٔوِىٓ(1);تُـْٔوِي(1);ـَٔاوِىٓ(1);مَأْوَىٰٓ(1);مَّأْوَىٰ(1)
بطل,36,بَٰطِلِ(12);بَٰطِلَ(5);بَٰطِلُ(5);مُبْطِلُونَ(5);بَٰطِلًا(2);بَٰطِلٌ(2);تُبْطِلُ(2);بَطَلَ(1);يُبْطِلَ(1);يُبْطِلُ(1)
حدث,36,حَدِيثِ(6);حَدِيثًا(5);حَدِيثُ(5);حَدِيثٍ(4);أَحَادِيثِ(3);حَدِيثٍۭ(3);أَحَادِيثَ(2);تُحَدِّثُ(2);يُحْدِثُ(2);أُحْدِثَ(1);حَدِّثْ(1);مُحْدَثٍ(1);مُّحْدَثٍ(1)
ريب,36,رَيْبَ(15);مُرِيبٍ(5);ٱرْتَبْ(3);رَيْبٍ(2);تَرْتَابُ(1);رَيْبِ(1);رِيبَةً(1);مُّرِيبٍ(1);مُّرِيبٍۭ(1);مُّرْتَابٌ(1);يَرْتَابَ(1);يَرْتَابُ(1);ٱرْتَابَ(1);ٱرْتَابَتْ(1);ٱرْتَابُ(1)
قرن,36,قُرُونِ(7);قَرْنٍ(5);قَرِينُ(3);قَرْنَيْنِ(3);قَرِينًا(2);قَرِينٌ(2);قَرْنًا(2);قُرُونًا(2);قُرُونَ(2);مُّقَرَّنِينَ(2);قُرَنَآءَ(1);قُرُونًۢا(1);قُرُونُ(1);مُقَرَّنِينَ(1);مُقْتَرِنِينَ(1);مُقْرِنِينَ(1)
قطع,36,قَطَّعْ(4);أُقَطِّعَ(3);قَطَعْ(3);يَقْطَعُ(3);تَقَطَّعُ(2);قُطِّعَتْ(2);قِطْعٍ(2);يَقْطَعَ(2);تَقَطَّعَ(1);تَقَطَّعَتْ(1);تَقْطَعُ(1);تُقَطَّعَ(1);تُقَطِّعُ(1);تَّقَطَّعَ(1);قَاطِعَةً(1);قَطَّعَ(1);قُطِعَ(1);قِطَعًا(1);قِطَعٌ(1);مَقْطُوعٌ(1);مَقْطُوعَةٍ(1);يَقْطَعْ(1);ٱقْطَعُ(1)
حين,35,حِينَ(17);حِينٍ(13);حِينٍۭ(2);حِينٌ(1);حِينَئِذٍ(1);حِينِ(1)
عفو,35,عَفَا(7);ٱعْفُ(4);تَعْفُ(3);عَفُوًّا(3);يَعْفُ(3);يَعْفُوا۟(3);عَفَوْ(2);عَفُوٌّ(2);عَفْوَ(2);عَافِينَ(1);عَفَ(1);عُفِىَ(1);نَّعْفُ(1);يَعْفُوَ(1);يَعْفُوَا۟(1)
غفل,35,غَٰفِلٍ(9);غَٰفِلُونَ(9);غَٰفِلِينَ(8);غَفْلَةٍ(5);أَغْفَلْ(1);تَغْفُلُ(1);غَٰفِلًا(1);غَٰفِلَٰتِ(1)
كيد,35,كَيْدَ(8);كَيْدًا(6);كَيْدُ(6);كَيْدِ(5);كِيدُ(3);يَكِيدُ(2);أَكِيدَ(1);أَكِيدُ(1);كَيْدٌ(1);كِدْ(1);مَكِيدُونَ(1)
مرر,35,مَرَّةٍ(9);مَرَّ(4);مَرَّتَيْنِ(3);مَرُّ(3);تَمُرُّ(2);مَرَّةً(2);مَّرَّتَيْنِ(2);أَمَرُّ(1);مَرَّةٍۭ(1);مَرَّتَانِ(1);مَرَّتْ(1);مَرَّٰتٍ(1);مِرَّةٍ(1);مَّرَّةً(1);مُّسْتَمِرٌّ(1);مُّسْتَمِرٍّ(1);يَمُرُّ(1)
ورث,35,يَرِثُ(6);أَوْرَثْ(5);وَٰرِثِينَ(3);أَوْرَثَ(2);أُورِثْ(2);مِيرَٰثُ(2);نَرِثُ(2);وَرِثَ(2);وَٰرِثُونَ(2);أُورِثُ(1);تَرِثُ(1);تُّرَاثَ(1);نُورِثُ(1);وَارِثِ(1);وَرَثَةِ(1);وَرِثُ(1);يُورَثُ(1);يُورِثُ(1)
جنح,34,جُنَاحَ(16);جُنَاحٌ(8);جَنَاحَ(4);أَجْنِحَةٍ(1);جَنَاحَيْ(1);جَنَاحِ(1);جَنَحُ(1);جُنَاحٌۢ(1);ٱجْنَحْ(1)
خفي,34,تُخْفُ(8);يَخْفَىٰ(4);تُخْفِى(3);يَسْتَخْفُ(3);خُفْيَةً(2);يُخْفُ(2);أَخْفَى(1);أَخْفَيْ(1);أُخْفِىَ(1);أُخْفِي(1);تَخْفَىٰ(1);خَافِيَةٌ(1);خَفِىٍّ(1);خَفِيًّا(1);مُسْتَخْفٍۭ(1);نُخْفِى(1);يَخْفَ(1);يُخْفِي(1)
هزأ,34,يَسْتَهْزِءُ(14);هُزُوًا(11);ٱسْتُهْزِئَ(3);تَسْتَهْزِءُ(1);مُسْتَهْزِءُونَ(1);مُسْتَهْزِءِينَ(1);يَسْتَهْزِئُ(1);يُسْتَهْزَأُ(1);ٱسْتَهْزِءُ(1)
وثق,34,مِيثَٰقَ(13);مِيثَٰقِ(3);مِّيثَٰقًا(3);مِّيثَٰقٌ(3);مِّيثَٰقَ(2);وَثَاقَ(2);وُثْقَىٰ(2);مَوْثِقًا(1);مَوْثِقَ(1);مَّوْثِقًا(1);مِّيثَٰقُ(1);وَاثَقَ(1);يُوثِقُ(1)
جنب,33,جَانِبِ(6);ٱجْتَنِبُ(5);جَنۢبِ(3);جُنُوبُ(3);جَانِبَ(2);جُنُبًا(2);جُنُوبِ(2);يَجْتَنِبُ(2);تَجْتَنِبُ(1);جَانِبٍ(1);جُنُبٍ(1);جُنُبِ(1);يَتَجَنَّبُ(1);يُجَنَّبُ(1);ٱجْتَنَبُ(1);ٱجْنُبْ(1)
حجج,33,حَجِّ(6);تُحَآجُّ(3);حَآجَّ(3);حَجَّ(3);يُحَآجُّ(3);حُجَّتُ(2);تُحَٰٓجُّ(1);حَآجُّ(1);حَآجِّ(1);حَجُّ(1);حَٰجَجْ(1);حُجَّةٌ(1);حُجَّةٌۢ(1);حُجَّةَ(1);حُجَّةُ(1);حُجَّتَ(1);حِجَجٍ(1);حِجُّ(1);يَتَحَآجُّ(1)
شمس,33,شَّمْسَ(16);شَّمْسِ(9);شَّمْسُ(7);شَمْسًا(1)
ظلل,33,ظِلَٰلُ(3);ظِلٍّ(3);ظَلَّ(2);ظَلَّلْ(2);ظَلُّ(2);ظَلْ(2);ظُلَلٌ(2);ظِلَٰلٍ(2);ظَلِيلًا(1);ظَلِيلٍ(1);ظَلَّتْ(1);ظُلَلٍ(1);ظُلَّةٌ(1);ظِلَٰلًا(1);ظِلًّا(1);ظِلُّ(1);ظُّلَلِ(1);ظُّلَّةِ(1);ظِّلَّ(1);ظِّلُّ(1);ظِّلِّ(1);نَظَلُّ(1);يَظْلَلْ(1)
عرش,33,عَرْشِ(20);عَرْشَ(3);عُرُوشِ(3);عَرْشُ(2);يَعْرِشُ(2);عَرْشٌ(1);مَعْرُوشَٰتٍ(1);مَّعْرُوشَٰتٍ(1)
عمي,33,أَعْمَىٰ(12);أَعْمَىٰٓ(2);تَعْمَى(2);عَمُ(2);عُمْىٌ(2);عُمْىَ(2);عُمْىِ(2);عَمًى(1);عَمَىٰ(1);عَمُونَ(1);عَمِىَ(1);عَمِينَ(1);عَمِيَتْ(1);عُمِّيَتْ(1);عُمْيًا(1);عُمْيَانًا(1)
قسم,33,أُقْسِمُ(8);أَقْسَمُ(6);أَقْسَمْ(2);قَسَمٌ(2);يُقْسِمَ(2);تَسْتَقْسِمُ(1);تَقَاسَمُ(1);تُقْسِمُ(1);قَاسَمَ(1);قَسَمْ(1);قِسْمَةٌ(1);قِسْمَةٌۢ(1);قِسْمَةَ(1);مُقَسِّمَٰتِ(1);مُقْتَسِمِينَ(1);مَّقْسُومٌ(1);يَقْسِمُ(1);يُقْسِمُ(1)
كفي,33,كَفَىٰ(26);يَكْفِ(2);كَافٍ(1);كَفَى(1);كَفَيْ(1);يَكْفِي(1);يَكْفِيَ(1)
برر,32,بَرِّ(12);بِرَّ(4);أَبْرَارَ(3);أَبْرَارِ(3);بِرِّ(3);بَرًّۢا(2);تَبَرُّ(2);بَرَرَةٍ(1);بَرُّ(1);بِرُّ(1)
برك,32,تَبَارَكَ(7);بَٰرَكْ(6);بَرَكَٰتٍ(2);تَبَٰرَكَ(2);مُبَارَكًا(2);مُبَارَكٌ(2);مُّبَٰرَكَةٍ(2);بَرَكَٰتُ(1);بَٰرَكَ(1);بُورِكَ(1);مُبَٰرَكٌ(1);مُبَٰرَكَةً(1);مُبَٰرَكَةِ(1);مُّبَارَكًا(1);مُّبَارَكٌ(1);مُّبَٰرَكًا(1)
ثلث,32,ثَلَٰثَ(3);ثَلَٰثَةَ(3);ثَلَٰثَةِ(3);ثَلَٰثَةٌ(2);ثَلَٰثَةٍ(2);ثُلَٰثَ(2);ثَالِثٍ(1);ثَالِثُ(1);ثَلَٰثٍ(1);ثَلَٰثَةً(1);ثَلَٰثَةُ(1);ثَلَٰثُ(1);ثَلَٰثُونَ(1);ثَلَٰثِ(1);ثَلَٰثِينَ(1);ثُلُثَ(1);ثُلُثَا(1);ثُلُثَىِ(1);ثَّالِثَةَ(1);ثَّلَٰثَةِ(1);ثُّلُثَانِ(1);ثُّلُثُ(1);ثُّلُثِ(1)
عصي,32,عَصَيْ(9);عَصَ(8);يَعْصِ(3);عَصَىٰ(2);عَصِيًّا(2);مَعْصِيَتِ(2);أَعْصِى(1);عَصَا(1);عَصَىٰٓ(1);عِصْيَانَ(1);يَعْصُ(1);يَعْصِي(1)
مدد,32,يَمُدُّ(3);أَمَدَّ(2);أَمْدَدْ(2);تَمُدَّ(2);مَدَدْ(2);مَدًّا(2);مَدَّ(2);يَمْدُدْ(2);يُمْدِدْ(2);تُمِدُّ(1);مَدَدًا(1);مُدَّتِ(1);مُدَّتْ(1);مُمِدُّ(1);مِدَادًا(1);مَّمْدُودًا(1);مَّمْدُودٍ(1);مُّمَدَّدَةٍۭ(1);نَمُدُّ(1);نُمِدُّ(1);نُّمِدُّ(1);يُمِدَّ(1)
نصب,32,نَصِيبًا(8);نَصِيبٌ(8);نَصَبٌ(3);نَصِيبَ(3);أَنصَابُ(1);نَصَبًا(1);نَصِيبُ(1);نُصُبٍ(1);نُصِبَتْ(1);نُصْبٍ(1);نَّاصِبَةٌ(1);نَّصِيبٍ(1);نُّصُبِ(1);ٱنصَبْ(1)
وري,32,وَرَآءَ(12);وَرَآئِ(7);وَرَآءِ(5);يُوَٰرِى(2);أُوَٰرِىَ(1);تَوَارَتْ(1);تُورُ(1);مُورِيَٰتِ(1);وُۥرِىَ(1);يَتَوَٰرَىٰ(1)
وسع,32,وَٰسِعٌ(7);وُسْعَ(5);وَسِعَ(4);سَعَةً(2);سَعَتِ(2);وَٰسِعَةٌ(2);سَعَةٍ(1);سَّعَةِ(1);مُوسِعُونَ(1);مُوسِعِ(1);وَسِعَتْ(1);وَسِعْ(1);وَٰسِعًا(1);وَٰسِعَةً(1);وَٰسِعَةٍ(1);وَٰسِعُ(1)
وصي,32,وَصَّىٰ(6);تَوَاصَ(5);وَصَّيْ(5);وَصِيَّةٍ(4);وَصِيَّةً(2);يُوصِي(2);أَوْصَٰ(1);تَوْصِيَةً(1);تُوصُ(1);مُّوصٍ(1);وَصِيَّةُ(1);وَصِيَّةِ(1);يُوصَىٰ(1);يُوصِى(1)
بدو,31,تُبْدُ(9);بَدَا(6);بَدَتْ(2);تُبْدَ(2);يُبْدِي(2);بَادُونَ(1);بَادِ(1);بَادِىَ(1);بَدَتِ(1);بَدْوِ(1);تُبْدِى(1);مُبْدِي(1);يُبْدُ(1);يُبْدِ(1);يُبْدِىَ(1)
برأ,31,بَرِىٓءٌ(9);بَارِئِ(2);بَرَآءَةٌ(2);بَرِيَّةِ(2);تَبَرَّأَ(2);أُبَرِّئُ(1);أُبْرِئُ(1);بَارِئُ(1);بَرَآءٌ(1);بَرِيٓـًٔا(1);بَرِيٓـُٔونَ(1);بَرَّأَ(1);بُرَءَٰٓؤُا۟(1);تَبَرَّءُ(1);تَبَرَّأْ(1);تُبْرِئُ(1);مُبَرَّءُونَ(1);نَتَبَرَّأَ(1);نَّبْرَأَ(1)
حيث,31,حَيْثُ(31)
خلص,31,مُخْلَصِينَ(8);مُخْلِصِينَ(7);خَالِصَةً(3);مُخْلِصًا(3);أَخْلَصُ(1);أَخْلَصْ(1);أَسْتَخْلِصْ(1);خَالِصًا(1);خَالِصَةٌ(1);خَالِصَةٍ(1);خَالِصُ(1);خَلَصُ(1);مُخْلَصًا(1);مُخْلِصُونَ(1)
شرر,31,شَرٌّ(7);شَرِّ(5);شَرَّ(4);شَّرُّ(4);شَرًّا(2);شَرٍّ(2);شَرُّ(2);شَّرِّ(2);أَشْرَارِ(1);شَرَرٍ(1);شَّرَّ(1)
شفع,31,شَفَٰعَةٌ(3);شَفِيعٍ(3);شُفَعَآءَ(3);شَّفَٰعَةُ(3);يَشْفَعُ(3);شَفَٰعَةً(2);شَفَٰعَتُ(2);شَفِيعٌ(2);شَّفَٰعَةَ(2);يَشْفَعْ(2);شَفَٰعَةُ(1);شَٰفِعِينَ(1);شُفَعَٰٓؤُ(1);شُفَعَٰٓؤُا۟(1);شَّفْعِ(1);شَّٰفِعِينَ(1)
طهر,31,أَطْهَرُ(4);يُطَهِّرَ(4);مُّطَهَّرَةٌ(3);يَتَطَهَّرُ(3);طَهُورًا(2);طَهِّرْ(2);تَطَهَّرْ(1);تَطْهِيرًا(1);تُطَهِّرُ(1);طَهَّرَ(1);طَهِّرَ(1);مُتَطَهِّرِينَ(1);مُطَهَّرُونَ(1);مُطَهِّرُ(1);مُطَّهِّرِينَ(1);مُّطَهَّرَةً(1);مُّطَهَّرَةٍۭ(1);يَطْهُرْ(1);ٱطَّهَّرُ(1)
غلب,31,غَٰلِبُونَ(6);يَغْلِبُ(5);غَٰلِبِينَ(4);غَالِبَ(2);غَلَبَتْ(2);أَغْلِبَ(1);تَغْلِبُ(1);تُغْلَبُ(1);غَالِبٌ(1);غَلَبُ(1);غَلَبِ(1);غُلِبَتِ(1);غُلِبُ(1);غُلْبًا(1);مَغْلُوبٌ(1);يَغْلِبْ(1);يُغْلَبُ(1)
قعد,31,قَٰعِدِينَ(4);ٱقْعُدُ(3);تَقْعُدَ(2);تَقْعُدُ(2);قَٰعِدُونَ(2);قُعُودًا(2);مَقَٰعِدَ(2);مَقْعَدِ(2);أَقْعُدَ(1);تَقْعُدْ(1);قَاعِدًا(1);قَعَدَ(1);قَعَدُ(1);قَعِيدٌ(1);قَوَاعِدَ(1);قَوَاعِدِ(1);قَوَٰعِدُ(1);قُعُودٌ(1);قُعُودِ(1);نَقْعُدُ(1)
لبث,31,لَبِثْ(11);لَبِثُ(5);لَّبِثْ(5);لَبِثَ(4);يَلْبَثُ(4);تَلَبَّثُ(1);لَّٰبِثِينَ(1)
